Date,Close,Mean,Median,Up/Down,Gain%/Loss%
1964-06-22,826.38,680.79,683.73,1.13,0.14
1964-06-23,822.7,680.91,683.81,-3.68,-0.45
1964-06-24,827.01,681.04,683.88,4.31,0.52
1964-06-25,827.48,681.17,683.92,0.47,0.06
1964-06-26,830.99,681.31,683.96,3.51,0.42
1964-06-29,830.94,681.44,684.01,-0.05,-0.01
1964-06-30,831.5,681.57,684.06,0.56,0.07
1964-07-01,838.06,681.71,684.15,6.56,0.79
1964-07-02,841.47,681.85,684.24,3.41,0.41
1964-07-06,844.24,681.99,684.25,2.77,0.33
1964-07-07,844.94,682.14,684.27,0.7,0.08
1964-07-08,845.45,682.28,684.43,0.51,0.06
1964-07-09,845.13,682.42,684.59,-0.32,-0.04
1964-07-10,847.51,682.57,684.59,2.38,0.28
1964-07-13,845.55,682.71,684.59,-1.96,-0.23
1964-07-14,843.63,682.85,684.66,-1.92,-0.23
1964-07-15,844.8,682.99,684.73,1.17,0.14
1964-07-16,847.47,683.14,684.8,2.67,0.32
1964-07-17,851.35,683.29,684.86,3.88,0.46
1964-07-20,849.39,683.43,685.06,-1.96,-0.23
1964-07-21,846.95,683.57,685.26,-2.44,-0.29
1964-07-22,847.65,683.72,685.37,0.7,0.08
1964-07-23,846.48,683.86,685.47,-1.17,-0.14
1964-07-24,845.64,684.0,685.49,-0.84,-0.1
1964-07-27,841.05,684.14,685.5,-4.59,-0.54
1964-07-28,837.35,684.27,685.56,-3.7,-0.44
1964-07-29,838.67,684.4,685.62,1.32,0.16
1964-07-30,839.37,684.54,685.64,0.7,0.08
1964-07-31,841.1,684.67,685.67,1.73,0.21
1964-08-03,840.35,684.81,685.76,-0.75,-0.09
1964-08-04,832.77,684.94,685.86,-7.58,-0.9
1964-08-05,833.05,685.07,685.88,0.28,0.03
1964-08-06,823.4,685.19,685.9,-9.65,-1.16
1964-08-07,829.16,685.31,685.99,5.76,0.7
1964-08-10,829.35,685.43,686.07,0.19,0.02
1964-08-11,828.08,685.56,686.08,-1.27,-0.15
1964-08-12,834.08,685.68,686.09,6.0,0.72
1964-08-13,838.52,685.82,686.15,4.44,0.53
1964-08-14,838.81,685.95,686.21,0.29,0.03
1964-08-17,840.21,686.08,686.29,1.4,0.17
1964-08-18,842.83,686.21,686.37,2.62,0.31
1964-08-19,841.76,686.35,686.43,-1.07,-0.13
1964-08-20,838.71,686.48,686.49,-3.05,-0.36
1964-08-21,838.62,686.61,686.55,-0.09,-0.01
1964-08-24,837.31,686.74,686.61,-1.31,-0.16
1964-08-25,832.2,686.86,686.72,-5.11,-0.61
1964-08-26,829.21,686.98,686.83,-2.99,-0.36
1964-08-27,835.25,687.11,686.88,6.04,0.73
1964-08-28,839.09,687.24,686.92,3.84,0.46
1964-08-31,838.48,687.37,687.32,-0.61,-0.07
1964-09-01,844.0,687.5,687.71,5.52,0.66
1964-09-02,845.08,687.64,687.78,1.08,0.13
1964-09-03,846.02,687.77,687.84,0.94,0.11
1964-09-04,848.31,687.91,687.86,2.29,0.27
1964-09-08,851.91,688.05,687.87,3.6,0.42
1964-09-09,855.57,688.19,687.88,3.66,0.43
1964-09-10,859.5,688.33,687.9,3.93,0.46
1964-09-11,867.13,688.48,687.9,7.63,0.89
1964-09-14,866.24,688.63,687.91,-0.89,-0.1
1964-09-15,862.54,688.78,688.17,-3.7,-0.43
1964-09-16,864.18,688.93,688.43,1.64,0.19
1964-09-17,868.67,689.08,688.54,4.49,0.52
1964-09-18,865.12,689.23,688.66,-3.55,-0.41
1964-09-21,871.58,689.38,688.7,6.46,0.75
1964-09-22,872.47,689.54,688.74,0.89,0.1
1964-09-23,871.95,689.69,688.82,-0.52,-0.06
1964-09-24,872.98,689.84,688.9,1.03,0.12
1964-09-25,874.71,690.0,688.93,1.73,0.2
1964-09-28,875.46,690.15,688.96,0.75,0.09
1964-09-29,875.74,690.31,689.01,0.28,0.03
1964-09-30,875.37,690.46,689.06,-0.37,-0.04
1964-10-01,872.0,690.62,689.22,-3.37,-0.38
1964-10-02,872.65,690.77,689.38,0.65,0.07
1964-10-05,877.15,690.92,689.6,4.5,0.52
1964-10-06,875.14,691.08,689.81,-2.01,-0.23
1964-10-07,873.78,691.23,689.87,-1.36,-0.16
1964-10-08,874.9,691.38,689.92,1.12,0.13
1964-10-09,878.08,691.54,690.04,3.18,0.36
1964-10-12,877.57,691.69,690.16,-0.51,-0.06
1964-10-13,876.21,691.85,690.16,-1.36,-0.15
1964-10-14,875.18,692.0,690.16,-1.03,-0.12
1964-10-15,868.44,692.14,690.34,-6.74,-0.77
1964-10-16,873.54,692.29,690.51,5.1,0.59
1964-10-19,876.21,692.45,690.56,2.67,0.31
1964-10-20,881.5,692.6,690.6,5.29,0.6
1964-10-21,879.72,692.76,690.63,-1.78,-0.2
1964-10-22,877.01,692.91,690.67,-2.71,-0.31
1964-10-23,877.62,693.06,690.69,0.61,0.07
1964-10-26,877.01,693.21,690.71,-0.61,-0.07
1964-10-27,875.98,693.36,690.75,-1.03,-0.12
1964-10-28,871.16,693.51,690.79,-4.82,-0.55
1964-10-29,871.86,693.66,690.84,0.7,0.08
1964-10-30,873.08,693.81,690.88,1.22,0.14
1964-11-02,875.51,693.95,690.91,2.43,0.28
1964-11-04,873.82,694.1,690.95,-1.69,-0.19
